layer,asset_type,asset_name,geometry_type,authority,confidence,spatial_precision,field_verification_required,osm_type,osm_id
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1004147442
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1004147443
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1004147444
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1004147445
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1018375446
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1018375447
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1018375448
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1036338500
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1039035335
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",Polygon,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1039035340
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1039035341
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1039035342
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1039035343
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1039035349
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1063068379
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1137353636
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1148978547
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1148978548
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1185455027
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1187687379
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1187687380
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1190188775
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1190188776
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1277625938
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1277625939
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1277625940
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1277625942
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1277625943
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1277625944
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1277625945
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1277625947
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297221676
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297221677
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297221678
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297221700
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297221701
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297221702
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297221703
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297221704
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297221705
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297221706
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297256923
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297256925
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297256938
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297256939
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297256940
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297256941
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297256942
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297256943
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297256946
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297256948
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297256950
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1297256952
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1307504283
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1344476697
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1344476699
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1346087364
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1346087365
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1347511070
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1347511071
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1347511072
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1357066825
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1368416449
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1378126604
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1378441231
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1378455619
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1378455620
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1378455621
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1387044564
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1394452428
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1394452429
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1394452430
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1394452431
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1394452432
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1394452433
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1394452435
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1409643306
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1409643307
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1409643310
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1409643312
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1409643313
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1409643314
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1409643315
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1409643316
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1409643317
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1415825013
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1420425286
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1420425287
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1420425288
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1420425289
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1420425290
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1420425291
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1420425292
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1420425293
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",Polygon,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1420425294
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1442905275
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1443725557
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1443725558
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1443725560
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1443725561
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1443788974
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1446950432
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1446950433
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1446950434
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1446956889
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1446956890
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1446956891
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1446956892
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1446956893
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1446956894
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1446956895
asset_paths,path,"Beach walks, access paths and Lakefront Trail segments",LineString,OSM working geometry; CPD confirms ADA beach walk and paved dune-edge paths,medium,mapped centerlines,yes,way,1446956900
